test_name,median
angle_perftests,391.81500005722046
battor.steady_state,3.311999797821045
battor.steady_state.reference,9.160000085830688
battor.trivial_pages,3.7860000133514404
battor.trivial_pages.reference,9.344000101089478
blink_perf.bindings,303.05650091171265
blink_perf.bindings.reference,174.5680000782013
blink_perf.blink_gc,3.490999937057495
blink_perf.blink_gc.reference,14.61299991607666
blink_perf.canvas,71.58841490745544
blink_perf.canvas.reference,75.32377815246582
blink_perf.css,122.29222106933594
blink_perf.css.reference,126.00407886505127
blink_perf.dom,125.02799987792969
blink_perf.dom.reference,133.21399998664856
blink_perf.events,55.88700008392334
blink_perf.events.reference,58.5239999294281
blink_perf.layout,438.89800000190735
blink_perf.layout.reference,468.8919999599457
blink_perf.paint,226.10572600364685
blink_perf.paint.reference,226.81200003623962
blink_perf.parser,270.87817096710205
blink_perf.parser.reference,319.49071979522705
blink_perf.shadow_dom,111.88300013542175
blink_perf.shadow_dom.reference,112.5920000076294
blink_perf.svg,87.20600008964539
blink_perf.svg.reference,92.15299987792969
blob_storage.blob_storage,4.136999845504761
blob_storage.blob_storage.reference,12.82200002670288
cc_perftests,557.9185671806335
dromaeo.domcoreattr,48.019999980926514
dromaeo.domcoreattr.reference,51.01774191856384
dromaeo.domcoremodify,47.09100008010864
dromaeo.domcoremodify.reference,51.9760000705719
dromaeo.domcorequery,65.68899989128113
dromaeo.domcorequery.reference,67.29184412956238
dromaeo.domcoretraverse,42.7720000743866
dromaeo.domcoretraverse.reference,47.62100005149841
dummy_benchmark.noisy_benchmark_1,18.621004819869995
dummy_benchmark.noisy_benchmark_1.reference,19.30400013923645
dummy_benchmark.stable_benchmark_1,13.883999824523926
dummy_benchmark.stable_benchmark_1.reference,18.116000175476074
gpu_perftests,63.15075898170471
image_decoding.image_decoding_measurement,191.417809009552
image_decoding.image_decoding_measurement.reference,176.58185386657715
jetstream,199.22699999809265
jetstream.reference,196.89399981498718
kraken,39.430999994277954
kraken.reference,40.43400001525879
load_library_perf_tests,0.39299988746643066
loading.desktop,7024.303406000137
loading.desktop.reference,7.38227105140686
loading.mobile,7846.697929143906
loading.mobile.reference,24.80684494972229
media.android.tough_video_cases,567.8408660888672
media.android.tough_video_cases.reference,730.8897700309753
media.android.tough_video_cases_tbmv2,591.5332841873169
media.android.tough_video_cases_tbmv2.reference,1002.6757040023804
media.chromeOS4kOnly.tough_video_cases,2.75600004196167
media.chromeOS4kOnly.tough_video_cases.reference,14.332000017166138
media.mse_cases,48.49300003051758
media.mse_cases.reference,53.367000102996826
media.tough_video_cases,303.01399993896484
media.tough_video_cases.reference,305.25400018692017
media.tough_video_cases_extra,74.0440001487732
media.tough_video_cases_extra.reference,86.6579999923706
media.tough_video_cases_tbmv2,658.4416830539703
media.tough_video_cases_tbmv2.reference,655.7495429515839
media_perftests,13.65499997138977
memory.blink_memory_mobile,415.2724039554596
memory.blink_memory_mobile.reference,384.64591789245605
memory.desktop,1092.130000114441
memory.desktop.reference,106.88634204864502
memory.long_running_idle_gmail_background_tbmv2,234.23300004005432
memory.long_running_idle_gmail_background_tbmv2.reference,208.60399985313416
memory.long_running_idle_gmail_tbmv2,242.24200010299683
memory.long_running_idle_gmail_tbmv2.reference,211.85000014305115
memory.top_10_mobile,2054.6905529499054
memory.top_10_mobile.reference,8760.4110019207
octane,57.818000078201294
octane.reference,58.29299998283386
oortonline,80.85086297988892
oortonline.reference,92.1082329750061
oortonline_tbmv2,65.42217302322388
oortonline_tbmv2.reference,45.35554599761963
page_cycler_v2.basic_oopif,497.33399987220764
page_cycler_v2.basic_oopif.reference,8.6010000705719
page_cycler_v2.intl_es_fr_pt-BR,1360.8120000362396
page_cycler_v2.intl_es_fr_pt-BR.reference,14.42199993133545
page_cycler_v2.intl_ja_zh,2406.526999950409
page_cycler_v2.intl_ja_zh.reference,14.365999937057495
page_cycler_v2_site_isolation.basic_oopif,503.27500009536743
page_cycler_v2_site_isolation.basic_oopif.reference,7.6345109939575195
performance_browser_tests,308.0816900730133
power.android_acceptance,252.51223802566528
power.android_acceptance.reference,296.59437584877014
power.idle_platform,4.288592100143433
power.steady_state,38.06883907318115
power.steady_state.reference,24.444000005722046
power.top_25,2.7880001068115234
power.top_25.reference,14.348000049591064
power.trivial_pages,37.20260787010193
power.trivial_pages.reference,23.54137396812439
power.typical_10_mobile,720.7133150100708
power.typical_10_mobile.reference,843.0517828464508
rasterize_and_record_micro.partial_invalidation,2.3429999351501465
rasterize_and_record_micro.partial_invalidation.reference,7.976999998092651
rasterize_and_record_micro.top_25,2.302000045776367
rasterize_and_record_micro.top_25.reference,7.8429999351501465
scheduler.tough_scheduling_cases,569.6630001068115
scheduler.tough_scheduling_cases.reference,8.614000082015991
service_worker.service_worker,101.32852911949158
service_worker.service_worker.reference,100.6010000705719
service_worker.service_worker_micro_benchmark,14.69700002670288
service_worker.service_worker_micro_benchmark.reference,20.32200002670288
smoothness.desktop_tough_pinch_zoom_cases,37.864269971847534
smoothness.desktop_tough_pinch_zoom_cases.reference,23.620908975601196
smoothness.gpu_rasterization.polymer,355.1174249649048
smoothness.gpu_rasterization.polymer.reference,510.07734084129333
smoothness.gpu_rasterization.top_25_smooth,733.4530229568481
smoothness.gpu_rasterization.top_25_smooth.reference,758.7646369934082
smoothness.gpu_rasterization.tough_filters_cases,120.20055985450745
smoothness.gpu_rasterization.tough_filters_cases.reference,123.56200003623962
smoothness.gpu_rasterization.tough_path_rendering_cases,126.41799998283386
smoothness.gpu_rasterization.tough_path_rendering_cases.reference,129.82400012016296
smoothness.gpu_rasterization_and_decoding.image_decoding_cases,31.00195288658142
smoothness.gpu_rasterization_and_decoding.image_decoding_cases.reference,36.305999994277954
smoothness.image_decoding_cases,29.421000003814697
smoothness.image_decoding_cases.reference,35.89400005340576
smoothness.key_desktop_move_cases,55.08399987220764
smoothness.key_desktop_move_cases.reference,8.260947942733765
smoothness.key_mobile_sites_smooth,1105.2432351112366
smoothness.key_mobile_sites_smooth.reference,1128.183431148529
